0.360000 10.000000 2.859561
0.373061 11.406249 0.000000
0.386122 13.010252 0.000000
0.399184 14.839818 1.957845
0.412245 16.926666 3.963951
0.425306 19.306977 6.092859
0.438367 22.022019 5.090288
0.451429 25.118864 6.857224
0.464490 28.651203 7.263581
0.477551 32.680276 6.879307
0.490612 37.275937 10.418378
0.503673 42.517863 8.653094
0.516735 48.496934 8.220737
0.529796 55.316812 9.284339
0.542857 63.095734 10.484337
0.555918 71.968567 9.563810
0.568980 82.089142 11.154403
0.582041 93.632921 9.482496
0.595102 106.800043 14.146897
0.608163 121.818791 11.105059
0.621224 138.949549 13.069701
0.634286 158.489319 12.344603
0.647347 180.776868 12.477811
0.660408 206.198601 11.583894
0.673469 235.195264 12.868199
0.686531 268.269580 12.605994
0.699592 305.994969 11.702242
0.712653 349.025488 13.189433
0.725714 398.107171 12.727570
0.738776 454.090961 13.253080
0.751837 517.947468 12.026757
0.764898 590.783791 13.194587
0.777959 673.862717 11.011041
0.791020 768.624610 13.308080
0.804082 876.712387 9.811075
0.817143 1000.000000 9.049320
0.830204 1140.624924 9.274695
0.843265 1301.025217 10.472427
0.856327 1483.981789 9.466112
0.869388 1692.666615 7.662474
0.882449 1930.697729 7.103879
0.895510 2202.201950 7.423183
0.908571 2511.886432 4.599883
0.921633 2865.120270 4.620138
0.934694 3268.027589 3.899254
0.947755 3727.593720 2.763918
0.960816 4251.786303 2.664669
0.973878 4849.693429 1.179420
0.986939 5531.681198 0.570588
