8771.879	30.51412
6490.13	27.74098
4821.422	25.28726
3597.419	23.11457
2697.278	21.19053
2033.575	19.48717
1542.518	17.97896
1177.658	16.64276
905.2479	15.45786
700.7796	14.4059
546.4362	13.47071
429.2377	12.63813
339.7007	11.89575
270.8717	11.23281
217.6315	10.63992
176.195	10.10897
143.7501	9.632933
118.1973	9.205762
97.96181	8.822267
81.85558	8.478017
68.97374	8.169135
58.61924	7.892105
50.25376	7.643743
43.46097	7.421178
37.91802	7.221843
33.37384	7.043444
29.6325	6.883941
26.54055	6.741525
23.97735	6.614591
21.84768	6.501724




